Time,Scan,Tvent [K],Tl8 [C],T6 [C],T4 [C],T2 [C],Pbypass [PSI],dPbypass [PA],dPtest [PSI],Pvent [PSI],Tbypass [K],Treturn [K],Tout [C],Tin [C],Preturn [PSI],dPreturn [PA],dPvent [PA],Ptest [PSI],PdPvent,DivTvent,mdotvent,dT,CVHeatFlux,PdPbypass,DivTbypass,mdotbypass,PdPreturn,DivTreturn,mdotreturn,PdivRvent,rhoVent,rhodPvent,MFRventcheck,PdivRbypass,rhoBypass,rhodPbypass,MFRbypass,PdivRreturn,rhoReturn,rhodPreturn,MFRreturn
8/30/2017 11:57:48:369,1,303.375,452.999,452.782,452.474,439.449,1347.8901,1887.8041,7.2772949,1442.3095,414.758,301.422,415.161,407.523,1294.4653,5718.7073,1572.6441,1406.0034,276872.657686133,912.641640498171,5.22816576524441,7.63799999999998,0.913620932299636,310600.795679501,748.872344064494,4.73590634110875,903606.689036662,2997.81266475792,9.4754851185838,4836.69466750072,15.9429572888363,25072.5977168405,5.2548489293912,4523.26240024685,10.9057869896346,20587.9893927588,5.17981405617395,4345.91477686029,14.4180410748396,82452.5567463849,10.365953717698
8/30/2017 11:57:49:581,2,303.385,453.027,452.782,452.514,439.495,1333.0289,1894.9557,7.2541709,1442.2134,414.751,301.542,415.18,407.553,1297.5083,5444.2485,1531.0976,1407.7219,269540.207018099,888.442760908085,5.15838716751906,7.62700000000001,0.900128930023235,308339.938899308,743.433864895583,4.71867839801886,862261.986398572,2859.50874637222,9.25432875480481,4836.37565635595,15.9413802803565,24407.8090879411,5.18471594459553,4473.92953422447,10.7870253097026,20440.9350966653,5.1612819170556,4356.0162431824,14.445802717971,78646.5397786094,10.1238805358855
8/30/2017 11:57:50:444,3,303.408,453.082,452.868,452.653,439.535,1309.1869,1860.9507,8.3830759,1442.5658,415.092,302.204,415.214,407.576,1306.5266,5218.5072,1468.5335,1407.5991,258589.356450236,852.282591264028,5.05232195348395,7.63799999999998,0.88289226101157,297390.89951234,716.445750610323,4.63223799474114,832253.630929656,2753.94644322926,9.08190498411397,4837.54547453929,15.9440274301907,23414.3384061539,5.07810310242216,4394.78423023115,10.5874944114345,19702.8051362051,5.06723718426065,4385.95316521088,14.5132200937475,75737.3435544062,9.93487108590432
8/30/2017 11:57:51:308,4,303.408,453.131,452.967,452.714,439.625,1311.2754,1818.5628,8.194638,1443.2706,414.772,301.523,415.226,407.602,1334.129,5317.5742,1482.2205,1407.9675,261126.973927385,860.646304406557,5.07705143247038,7.62400000000002,0.885587522531889,291080.674268499,701.784773968588,4.58459714488486,865969.385331101,2871.98450974254,9.27449465921468,4839.88511090597,15.951738618975,23643.9939916865,5.10294619226169,4401.71716234214,10.6123777939257,19299.2754755793,5.01507814420969,4477.58139853632,14.8498834202907,78965.3569487457,10.1443798641994
8/30/2017 11:57:52:172,5,303.395,453.122,452.948,452.755,439.597,1315.8245,1810.9852,7.8803192,1443.0785,414.779,301.449,415.256,407.625,1293.8397,5753.6243,1581.9305,1406.1262,278656.072194446,918.459672026389,5.24480390019532,7.63099999999997,0.915688472008929,290873.411841477,701.27323669105,4.58292596310455,908684.517053399,3014.38889183046,9.50164607065985,4839.24742057391,15.95032027744,25232.2981316508,5.27155779766404,4416.81824037234,10.6486062225241,19284.4682696191,5.013153886891,4343.83805082312,14.4098605429878,82908.9237797457,10.3946014141478
8/30/2017 11:57:53:037,6,303.367,453.088,452.869,452.651,439.573,1329.7068,1718.7252,7.2946762,1442.2774,414.804,301.481,415.286,407.659,1296.8306,5514.0826,1532.0755,1406.7394,269724.3290482,889.102404177777,5.16030178946245,7.62700000000001,0.900463027977757,278967.422502181,672.528284448031,4.48801692395365,872866.191704152,2895.26103371075,9.3120022353183,4836.58810914747,15.9430264634831,24425.9202405541,5.18663917680049,4462.90157455682,10.7590610856135,18491.8694161833,4.90905175587549,4353.76656729463,14.4412635200713,79630.3198980401,10.1870029544673
8/30/2017 11:57:53:908,7,303.376,453.143,452.971,452.691,439.654,1308.9715,1856.5935,8.2307406,1441.4444,415.002,301.974,415.313,407.685,1303.2881,5217.7006,1480.7537,1406.8622,260538.481262964,858.797272239611,5.07159467344068,7.62799999999999,0.885099834862675,296645.778206009,714.805659264313,4.62693288520138,830062.397225416,2748.78763478119,9.07339469335622,4833.82290328276,15.9334387139482,23593.4983294021,5.09749418672154,4394.06919380467,10.588067512457,19657.7373211888,5.06143851630606,4375.20272200216,14.4886736010456,75597.56094138,9.92569883657649
8/30/2017 11:57:54:774,8,303.36,453.211,452.992,452.796,439.712,1310.3291,1823.2041,8.2625936,1443.3347,414.875,301.554,415.332,407.708,1323.5597,5210.3907,1462.666,1407.7219,257693.446840345,849.464157569701,5.04396121349772,7.62399999999997,0.879815612313952,291612.966101441,702.893560955568,4.5882174395732,841792.36162139,2791.5144936608,9.14364070668259,4840.09789565499,15.9549640547699,23336.783454134,5.06968606543831,4398.57584864493,10.6021713736545,19329.9223173496,5.01905848373907,4442.4958158882,14.7320075869934,76759.5153235996,10.001688255733
8/30/2017 11:57:55:642,9,303.347,453.177,453.041,452.805,439.684,1314.715,1850.2946,7.9389715,1442.8542,414.849,301.512,415.362,407.735,1293.7159,5817.7744,1596.1066,1407.3534,281109.483290087,926.692808203432,5.26825884741386,7.62700000000001,0.919301333034452,296936.547588986,715.770190090817,4.63005353405779,918727.989325794,3047.06940130341,9.55301328882876,4838.5028399311,15.9503896195812,25458.5221443851,5.29513654313185,4413.13517205673,10.6379313245464,19683.306884979,5.06472924898987,4343.42708745451,14.4054866388552,83807.8713870739,10.4508016951021
8/30/2017 11:57:56:513,10,303.354,453.174,452.992,452.75,439.684,1324.3092,1351.49,7.4869807,1442.5017,414.834,301.507,415.389,407.765,1295.6252,5574.1681,1555.0491,1406.4937,273811.443843755,902.613592844515,5.19936305150537,7.62400000000002,0.906922276595107,218470.794558022,526.646308060627,3.97153807870142,881557.416569187,2923.83731246435,9.35784421299376,4837.33268979028,15.9461641837269,24797.0682623567,5.22589569869329,4444.98383725146,10.7150904632973,14481.3376102416,4.3442173043073,4349.76515174922,14.4267468143334,80417.1118792339,10.2372058869662
