Time,Scan,Tvent [K],Tl8 [C],T6 [C],T4 [C],T2 [C],Pbypass [PSI],dPbypass [PA],dPtest [PSI],Pvent [PSI],Tbypass [K],Treturn [K],Tout [C],Tin [C],Preturn [PSI],dPreturn [PA],dPvent [PA],Ptest [PSI],PdPvent,DivTvent,mdotvent,dT,CVHeatFlux,PdPbypass,DivTbypass,mdotbypass,PdPreturn,DivTreturn,mdotreturn,PdivRvent,rhoVent,rhodPvent,MFRventcheck,PdivRbypass,rhoBypass,rhodPbypass,MFRbypass,PdivRreturn,rhoReturn,rhodPreturn,MFRreturn
6/26/2017 17:13:15:371,1,304.287,476.127,477.343,484.407,462.426,1327.429,424.92262,3.6255326,1442.1493,405.693,301.999,420.447,410.469,1335.8883,4921.3123,679.15077,1419.63,119554.953913586,392.901944261786,3.43037262410874,9.97800000000001,0.783108315773966,68851.3257919209,169.712875972523,2.25453304620791,802494.800739307,2657.27635104523,8.92108279710613,4836.16287160693,15.8934258499605,10794.0324039386,3.44788226515217,4455.3402469234,10.9820486104601,4666.52086852408,2.46606096053388,4483.42152660089,14.8458158027043,73060.8959133829,9.75775026137069
6/26/2017 17:13:16:585,2,304.258,476.388,477.531,484.53,462.611,1316.5294,809.68185,3.7380515,1442.1813,405.702,302.047,420.489,410.518,1301.6721,5438.5645,742.68912,1420.6125,130742.888993887,429.710604138222,3.5874614621229,9.971,0.818395059526132,130117.623188321,320.722163529686,3.09930056426778,864125.925990246,2860.89888656482,9.25657796128263,4836.2690980027,15.8952898461263,11805.2588279645,3.60577252727199,4419.15820869651,10.8926212064434,8819.55768978234,3.39024125644492,4369.83828901611,14.4674116578417,78681.9514492241,10.1261594866042
6/26/2017 17:13:17:450,3,304.293,476.327,477.555,484.6,462.623,1318.52,948.87519,3.2368649,1442.0211,405.567,302.012,420.546,410.564,1296.1595,5513.2697,757.84307,1419.5072,133395.768756644,438.379353966879,3.62346653782385,9.98199999999997,0.827520685952176,152716.853902802,376.551479540501,3.35823735430402,872285.876519844,2888.24906467241,9.30071913286894,4835.73730210891,15.8917139142501,12043.425260337,3.64196342250121,4425.76615442795,10.9125401091015,10354.6385694063,3.67345457710259,4351.53880060098,14.4084963531283,79437.9263662627,10.1746891854138
6/26/2017 17:13:18:316,4,304.332,476.465,477.648,484.714,462.697,1325.7907,278.00943,3.1038631,1441.893,405.597,302.023,420.584,410.617,1297.0392,5212.0165,733.40266,1420.6125,129082.292450023,424.149588114371,3.5641726532454,9.96699999999998,0.812756086033605,44991.0005009611,110.925377902108,1.82269779146503,825182.55713996,2732.18449303517,9.04595077061654,4835.31206456837,15.888280117005,11652.5069006366,3.58236846477232,4449.90178741781,10.9712394012229,3050.10801232753,1.99372296539548,4354.45903061201,14.4176404797383,75144.9800714641,9.89594308183574
6/26/2017 17:13:19:186,5,304.306,476.57,477.761,484.791,462.753,1340.3258,910.18146,3.0047438,1441.5406,405.623,302.065,420.626,410.666,1299.0201,5164.9185,695.76786,1420.4897,122428.462985738,402.320240106136,3.47124406145086,9.95999999999998,0.791009185104063,148911.938689478,367.119070391665,3.31590959450071,818974.726097659,2711.25329348868,9.011233745798,4834.14224638502,15.8857934000152,11052.8244783307,3.48896976154064,4498.15214007586,11.0894898466701,10093.4480592974,3.6268281521678,4361.03477646724,14.43740511634,74568.0207773791,9.85787960756715
6/26/2017 17:13:20:055,6,304.277,476.807,477.962,484.985,462.907,1338.6092,706.71971,3.3421479,1441.2522,405.816,302.314,420.664,410.715,1302.1934,4979.7783,682.08078,1420.2441,119996.05009744,394.36451028977,3.43675142441915,9.94900000000001,0.782284257165054,115476.1150844,284.552888709169,2.91931331622132,791546.902396555,2618.29390103189,8.8554045428614,4833.18488099321,15.8841610801776,10834.2809792132,3.45430448167983,4492.45375785814,11.0701740637583,7823.51020398879,3.1930669790877,4371.56878339459,14.4603583803416,72009.3788726483,9.68727735953833
6/26/2017 17:13:20:917,7,304.296,476.903,478.1,485.074,463.054,1309.2848,898.05698,3.9219337,1442.2134,406.096,302.966,420.721,410.749,1307.5562,4786.5215,637.60431,1420.3669,112246.272029316,368.871993155729,3.3238165815848,9.97199999999998,0.758326718912822,143525.534923618,353.427600674763,3.25348972929667,763961.607359657,2521.60838958714,8.69036523637119,4836.37565635595,15.8936550475719,10133.8629599851,3.34078157916595,4395.10921661069,10.8228330656069,9719.52077794306,3.55901344097254,4389.37099949456,14.4879986516459,69347.1170380742,9.50651652263797
6/26/2017 17:13:21:780,8,304.29,477.053,478.217,485.157,463.187,1310.3812,634.25696,3.833381,1442.694,405.652,302.225,420.763,410.783,1320.1714,4837.6777,681.10287,1419.63,119943.879416233,394.176211562104,3.43593084704758,9.97999999999996,0.784534405259022,101450.467050848,250.092362544367,2.73684009371901,779575.903162076,2579.45538311548,8.7894807437489,4837.97104403731,15.8992114234359,10828.998531239,3.45346227496236,4398.74879849553,10.8436512047162,6877.66124840363,2.99383314757721,4431.24810036431,14.6620832173523,70930.4330161296,9.61442923999913
6/26/2017 17:13:22:645,9,304.271,476.958,478.171,485.139,463.128,1314.1798,816.64383,3.8039783,1442.4055,405.584,302.064,420.805,410.821,1348.1647,4951.3582,682.08078,1419.8756,120092.071768441,394.687866304843,3.43816010409309,9.98399999999998,0.785358063575113,131002.211765674,322.996498297946,3.11027017532597,814813.944772305,2697.48776673918,8.98832879821904,4837.01334668801,15.8970567247224,10843.0768505029,3.45570639535548,4411.35853558759,10.876559567408,8882.27526235119,3.40227423125307,4524.17395550549,14.9775344149104,74159.1378410488,9.83081532864051
6/26/2017 17:13:23:512,10,304.29,476.903,478.097,485.04,463.091,1317.7042,786.04889,3.6503794,1442.1813,405.537,302.039,420.862,410.87,1294.8888,5594.4717,743.17808,1419.8756,130828.965444021,429.948290919914,3.58845349522714,9.99200000000002,0.82034547335288,126432.476393562,311.765575998149,3.0557181166422,884265.561260635,2927.6535853338,9.36394927932794,4836.2690980027,15.8936182523339,11811.7886970225,3.60676962389621,4423.05804525096,10.9066695400197,8573.17548552929,3.34255112518816,4347.32061681672,14.3932426501767,80522.5886776466,10.243917355709
