Time,Scan,Tvent [K],Tl8 [C],T6 [C],T4 [C],T2 [C],Pbypass [PSI],dPbypass [PA],dPtest [PSI],Pvent [PSI],Tbypass [K],Treturn [K],Tout [C],Tin [C],Preturn [PSI],dPreturn [PA],dPvent [PA],Ptest [PSI],PdPvent,DivTvent,mdotvent,dT,CVHeatFlux,PdPbypass,DivTbypass,mdotbypass,PdPreturn,DivTreturn,mdotreturn,PdivRvent,rhoVent,rhodPvent,MFRventcheck,PdivRbypass,rhoBypass,rhodPbypass,MFRbypass,PdivRreturn,rhoReturn,rhodPreturn,MFRreturn
8/19/2017 12:33:30:368,1,303.448,45.701,45.757,47.153,44.943,1332.9114,3421.4899,8.7963992,1466.884,305.778,302.316,34.074,32.366,1336.149,5277.7861,3464.7193,1429.3294,620375.991475535,2044.42273956505,7.82500385725659,1.708,0.305780273631296,556682.668196798,1820.54519356134,7.3841403222854,860791.225667208,2847.32275389727,9.23458872339874,4918.27156008456,16.2079551029651,56156.0148587767,7.86427531384768,4473.53948417753,14.630024018005,50056.4794143615,8.07676324634999,4484.28693976887,14.8331115116926,78285.9897561614,10.1006477371566
8/19/2017 12:33:31:435,2,303.432,45.714,45.77,47.163,44.959,1334.6084,3402.3561,8.6784052,1467.2044,305.517,301.547,34.076,32.367,1365.5171,5733.3207,3553.6797,1427.9784,636443.796369725,2097.48410309303,7.92589925659477,1.709,0.309904333297599,554274.342610857,1814.21767892083,7.37129693754477,955640.471171961,3169.1261102646,9.74246758896897,4919.33515187214,16.2123149564718,57613.3745508201,7.96566844138671,4479.17280272785,14.6609609374531,49881.8098774051,8.06265920465036,4581.77654643804,15.1942368733167,87113.43278649,10.654909513538
8/19/2017 12:33:32:298,3,303.465,45.704,45.745,47.154,44.937,1338.9812,3373.5136,8.2800514,1466.2111,305.481,301.501,34.077,32.369,1320.9468,5864.8661,3680.2749,1427.61,658670.052844743,2170.49759558678,8.06266960361088,1.708,0.31506761690661,551376.306811749,1804.94468334119,7.35243437960545,945659.051528234,3136.5038640941,9.69219453322923,4916.03781815615,16.1996863498464,59619.2990612125,8.10315230132071,4493.68863970889,14.7102066567442,49625.0822153373,8.04188431860653,4433.82209871664,14.705828832132,86247.7169899738,10.6018341459628
8/19/2017 12:33:33:167,4,303.514,45.677,45.771,47.129,44.925,1354.1949,3597.4349,7.5984664,1467.3646,305.549,301.521,34.077,32.37,1324.7131,5593.6588,3571.7636,1428.1012,639752.365042748,2107.81830506253,7.94540052537032,1.707,0.310303271384251,594655.271168418,1946.18627836589,7.63469007717818,904500.806444218,2999.79373391644,9.47861548282055,4919.86694776593,16.2096870251979,57897.1700839943,7.98526323251418,4544.1916558721,14.8722190413717,53501.8398198753,8.35009776419771,4446.32461354049,14.7463182118011,82485.8726330416,10.3680477465194
8/19/2017 12:33:34:034,5,303.498,45.697,45.784,47.17,44.931,1331.4103,3575.2703,8.8387422,1465.5383,305.717,302.112,34.078,32.367,1332.2393,5352.4913,3486.7149,1428.4697,623741.680134705,2055.17558644441,7.84555506703831,1.71100000000001,0.307121855442076,581047.917590575,1900.60715495237,7.54475929552038,870421.012009787,2881.12028654865,9.28923402124907,4913.80440818523,16.1905660274046,56451.8878071853,7.88496561301936,4468.55647034378,14.6166437271849,52258.4522034854,8.25249886374449,4471.30839790902,14.8001681426392,79217.7712220135,10.1605802803895
8/19/2017 12:33:34:903,6,303.494,45.69,45.765,47.116,44.95,1332.7157,3437.6872,8.6676089,1467.2044,305.533,301.553,34.079,32.37,1355.6387,5280.2247,3485.737,1429.4522,624275.645727558,2056.96206754518,7.84896423835103,1.709,0.30689615785098,559235.878662446,1830.36162595349,7.40402130780395,873750.66265956,2897.50280268994,9.31560662852767,4919.33515187214,16.2090029848107,56500.3214372651,7.8883473921251,4472.88984337594,14.6396292491349,50326.4660824967,8.09851553455141,4548.98445806594,15.0851905239409,79653.1956087184,10.1884660793094
8/19/2017 12:33:35:767,7,303.501,45.7,45.768,47.167,44.944,1337.3561,3346.6124,8.3231602,1467.4927,305.504,301.498,34.079,32.367,1320.4385,5885.9826,3701.7815,1428.7153,663098.255972232,2184.83054741906,8.08924685103585,1.712,0.316846480342702,546315.640725014,1788.24382242136,7.31833988616408,948698.705387451,3146.61691084999,9.7078072565287,4920.29218530647,16.211782449832,60012.4763548128,8.1298277241603,4488.29399859155,14.6914410239851,49166.5587047373,8.00464558675777,4432.13475881144,14.7003786387022,86526.172880813,10.6189346810311
8/19/2017 12:33:36:631,8,303.527,45.693,45.765,47.122,44.931,1348.8561,3159.9628,7.7283666,1465.9868,305.52,301.511,34.079,32.371,1323.4033,5702.4681,3614.7769,1428.1012,646848.705871403,2131.10763085789,7.98917438609611,1.708,0.312195619891374,520281.933804882,1702.93903444908,7.14165323506565,921183.675637147,3055.22410670638,9.56578785140566,4915.29323751335,16.1939242226008,58537.4232002078,8.02929416653208,4526.46910956895,14.8156229037999,46816.8172348357,7.81102710202764,4441.9766343789,14.7323866604499,84010.9649680809,10.4634568693168
8/19/2017 12:33:37:498,9,303.496,45.684,45.781,47.141,44.937,1331.2667,3572.76,8.4998065,1466.083,305.623,301.912,34.079,32.373,1330.1346,5372.7886,3480.3622,1427.1197,622836.644832629,2052.20709608242,7.83988696971348,1.706,0.306003128410008,580577.321908205,1899.65193034623,7.54286310001573,872341.430453156,2889.3897243341,9.30255552364704,4915.61258061561,16.1966305342265,56370.1406786878,7.87925449475085,4468.07977939279,14.6195796108041,52232.2492502965,8.25042965823471,4464.32168868518,14.7868308933901,79446.5164541339,10.175239294886
8/19/2017 12:33:38:364,10,303.512,45.703,45.777,47.154,44.93,1332.063,3466.293,8.7386271,1467.3966,305.471,301.55,34.081,32.37,1346.3858,5267.2309,3460.3224,1427.7328,619805.217855092,2042.11107915038,7.82057867954947,1.71100000000001,0.306144130551706,563613.245442408,1845.06301888693,7.43369624465669,865651.398585699,2870.67285221588,9.27237655064556,4919.97317416169,16.2101438301012,56092.3238025211,7.85981429478769,4470.72315685986,14.6355076483851,50730.9577130439,8.13099572015728,4518.26876377352,14.9834812262428,78921.455304436,10.1415595332914
8/19/2017 12:33:39:231,11,303.463,45.716,45.758,47.167,44.953,1335.731,3328.8995,8.4649287,1467.5568,305.507,301.534,34.083,32.37,1321.644,5960.6878,3755.0555,1427.2416,672670.581695264,2216.64776824609,8.14793494523491,1.713,0.319331641987407,542763.762906981,1776.60008741856,7.29447513865967,961616.750515009,3189.08232741584,9.77309396329568,4920.50497005548,16.214513697075,60886.3988380269,8.18880846046956,4482.89935747422,14.6736387626935,48847.0687403111,7.97859564416326,4436.13650631433,14.7118948653032,87693.0122384954,10.6902951539857
8/19/2017 12:33:40:099,12,303.52,45.691,45.768,47.151,44.921,1346.9046,3391.0369,7.8671109,1467.3004,305.513,301.501,34.082,32.371,1323.5988,5730.0754,3628.464,1428.4697,649879.757821551,2141.14311353964,8.0079629856085,1.711,0.313479470787777,557520.071532288,1824.86529716342,7.39289631173667,925780.133508659,3070.57068967817,9.58978253465364,4919.65383105943,16.2086644407598,58812.5554113772,8.04814132145643,4519.99095921483,14.7947581910257,50169.5709523454,8.08588192844825,4442.62561126552,14.735027781883,84432.8202112846,10.4896947347169
8/19/2017 12:33:40:963,13,303.497,45.675,45.755,47.161,44.933,1367.0068,3570.3449,7.8554725,1465.2819,305.575,301.747,34.082,32.372,1327.8278,5483.2238,3523.8644,1428.4697,630277.100808691,2076.71608223044,7.88656290928861,1.71,0.30854671049076,595760.906884911,1949.63890005698,7.64145921752097,888728.043926612,2945.27549213948,9.39208838055465,4912.95326918918,16.1878149345436,57043.6647616265,7.92618634252862,4586.7217171183,15.0101340656739,53591.355609695,8.35708026430946,4456.6640933806,14.7695390289898,80984.687918786,10.273268960883
8/19/2017 12:33:41:829,14,303.539,45.71,45.784,47.157,44.933,1332.3697,3491.6784,8.8027162,1466.9159,305.52,301.731,34.079,32.372,1342.9062,5275.3474,3446.6353,1430.1881,617151.378082695,2033.18643760009,7.80347082325371,1.707,0.304760284503633,567871.586703796,1858.70511489852,7.4611274034287,864744.680422383,2865.94576103345,9.26473906796012,4918.37745452283,16.2034448770103,55847.3650947079,7.84263336490035,4471.74127047175,14.6364927679751,51105.9256496949,8.16098972955725,4506.71797106422,14.936211297693,78793.7034351356,10.1333480278585
