Time,Scan,Tvent [K],Tl8 [C],T6 [C],T4 [C],T2 [C],Pbypass [PSI],dPbypass [PA],dPtest [PSI],Pvent [PSI],Tbypass [K],Treturn [K],Tout [C],Tin [C],Preturn [PSI],dPreturn [PA],dPvent [PA],Ptest [PSI],PdPvent,DivTvent,mdotvent,dT,CVHeatFlux,PdPbypass,DivTbypass,mdotbypass,PdPreturn,DivTreturn,mdotreturn,PdivRvent,rhoVent,rhodPvent,MFRventcheck,PdivRbypass,rhoBypass,rhodPbypass,MFRbypass,PdivRreturn,rhoReturn,rhodPreturn,MFRreturn
8/25/2017 12:55:03:368,1,304.76,439.873,440.256,446.671,423.346,1327.925,3781.6683,14.254107,1461.533,428.775,303.111,407.072,400.594,1315.1865,5947.694,2884.0468,1409.8087,514519.79117498,1688.27861653426,7.11084592751236,6.47800000000001,1.05389962687365,612982.584199878,1429.61362999214,6.54347652833733,954832.327547153,3150.10780719655,9.71319074550249,4900.50851496803,16.0798940640768,46375.1670198396,7.14666314298757,4456.98675605773,10.3946982824505,39309.3009828076,7.15739297047499,4414.70035160681,14.5646325986414,86625.9779191441,10.6250572085052
8/25/2017 12:55:04:541,2,304.679,439.851,440.228,447.1,423.315,1326.946,3652.8945,14.161864,1461.3088,428.788,303.082,407.068,400.59,1306.2334,5743.0692,2914.3509,1410.3,519846.347037936,1706.20996864876,7.14850863943623,6.47800000000001,1.05948162350924,591672.704507472,1379.8723483574,6.42863346554133,915705.850793747,3021.31387147289,9.51255391323447,4899.76426628271,16.0817262308289,46867.7933143698,7.18452105423456,4453.73689226235,10.3868039503492,37941.899022809,7.0318036253521,4384.9798658597,14.467965322453,83090.5260300479,10.4059792632706
8/25/2017 12:55:05:404,3,304.679,439.842,440.154,447.137,423.278,1345.7494,3646.264,13.272359,1460.5399,428.889,303.124,407.072,400.594,1309.9606,5444.2485,2804.3765,1412.5097,499966.494035663,1640.96145134933,7.0104903905393,6.47800000000001,1.03902591648127,598967.778252841,1396.55663412408,6.46738157399164,870537.189673365,2871.88473916076,9.27433356333112,4897.21184516702,16.0733488201255,45075.7217074627,7.04582599032339,4516.15618632778,10.5298951158173,38394.7774845806,7.07364530957555,4397.35258530622,14.5067780357419,78978.5045609206,10.1452243409812
8/25/2017 12:55:06:273,4,304.663,439.916,440.237,447.044,423.325,1317.1625,3903.9066,15.358722,1461.8535,429.123,303.874,407.064,400.594,1317.7604,5250.9918,2745.7203,1416.5616,489949.480984266,1608.1686354571,6.94008840590744,6.47000000000003,1.02732136867276,627667.919156251,1462.67601400123,6.61870886998453,844634.755369855,2779.55585331373,9.12403434794027,4901.5724387131,16.0885057874212,44174.5369371898,6.97503789810362,4421.25983154519,10.3030129625892,40222.0003045377,7.24000780502871,4423.24460535852,14.5561798816566,76434.3811979038,9.98048345126228
8/25/2017 12:55:07:139,5,304.666,439.903,440.287,446.995,423.356,1321.1307,3781.8106,15.059796,1461.7893,428.863,303.137,407.068,400.59,1348.2364,5665.1125,2803.3986,1411.5272,500219.69398304,1641.86254450132,7.01241494455475,6.47800000000001,1.03931115494368,609869.219695482,1422.06070399051,6.52616840990472,932321.591883959,3075.57834208282,9.59759911649323,4901.3593220066,16.0876478570192,45100.0894796605,7.04773020703418,4434.43256853479,10.3399746971289,39103.8259133339,7.13866212735383,4524.4119690235,14.9253042981342,84553.5279456637,10.4971902504465
8/25/2017 12:55:08:004,6,304.653,439.854,440.29,447.235,423.322,1326.5544,3837.9802,14.278986,1461.3408,428.768,303.05,407.064,400.575,1305.6991,5771.4893,2919.2405,1411.8956,520729.930555911,1709.25587654122,7.15488651507999,6.48900000000003,1.06222755262599,621468.255432484,1449.42779179529,6.58866613184609,919860.891774699,3035.34364551955,9.53461458184076,4899.87049267848,16.0834473734986,46951.4509523358,7.19093027523913,4452.4369467442,10.3842566300288,39854.5713377693,7.20686311186041,4383.20621700794,14.4636403795015,83476.745689341,10.430135653471
8/25/2017 12:55:08:871,7,304.699,439.842,440.145,447.325,423.272,1339.164,3448.0118,13.512342,1460.8922,428.882,303.111,407.06,400.575,1308.8528,5572.5424,2844.9451,1410.1772,507321.439211114,1664.99213719479,7.06163558912424,6.48500000000001,1.04773709677358,563629.433907313,1314.18300116888,6.27374888551344,890297.888701782,2937.20085612789,9.37920507898434,4898.38133139287,16.0761319577448,45735.7128401394,7.09722044601658,4494.29545799469,10.4790955507452,36132.0451122968,6.86204361038287,4393.67516026789,14.4952679390319,80775.4951896157,10.2599918657891
8/25/2017 12:55:09:736,8,304.695,439.885,440.216,447.617,423.297,1317.1103,3957.4714,15.359105,1460.8922,429.137,303.735,407.068,400.568,1317.6366,5189.2742,2741.3234,1412.1413,488843.223242201,1604.36903540327,6.93188492715387,6.5,1.0308648691143,636254.82154553,1482.63799566462,6.66372048083343,834628.911374266,2747.88520050131,9.07190516130578,4898.38133139287,16.0763430033078,44070.455261394,6.96681594703074,4421.0865497371,10.3022730497186,40770.9509492522,7.28924625640916,4422.83364198991,14.5614882775772,75563.5554324338,9.923466182494
8/25/2017 12:55:10:603,9,304.695,439.897,440.274,447.479,423.319,1319.2706,3831.0182,15.073958,1461.9816,428.84,303.147,407.068,400.571,1337.7324,5281.0314,2777.4913,1410.4228,495662.164997089,1626.74860105052,6.98006440442683,6.49699999999996,1.0375507171272,616934.780606796,1438.61295729595,6.5640396035571,862341.230164676,2844.63059230233,9.23022201006932,4901.99767625364,16.0882117404409,44684.8681416324,7.01521214878857,4428.25782732357,10.3261305552737,39559.5940928296,7.18014335634857,4489.54315461423,14.8097891604213,78210.9615835644,10.095806418772
8/25/2017 12:55:11:479,10,304.679,439.907,440.243,447.386,423.34,1323.3889,3689.6465,14.531603,1461.6612,428.823,303.082,407.064,400.571,1305.2495,5827.5166,2938.7913,1410.6684,524332.309228299,1720.93353735669,7.17928605547805,6.493,1.06650697261169,596023.525628406,1389.90568516242,6.45196309447414,928470.715267133,3063.43073909745,9.57862655909774,4900.93408446606,16.0855657412098,47272.1206558454,7.21544484912823,4441.92883250081,10.3584202165015,38218.9088973439,7.05742617843839,4381.71373614747,14.4571889328547,84249.508495547,10.478301482897
