Time,Scan,Tvent [K],Tl8 [C],T6 [C],T4 [C],T2 [C],Pbypass [PSI],dPbypass [PA],dPtest [PSI],Pvent [PSI],Tbypass [K],Treturn [K],Tout [C],Tin [C],Preturn [PSI],dPreturn [PA],dPvent [PA],Ptest [PSI],PdPvent,DivTvent,mdotvent,dT,CVHeatFlux,PdPbypass,DivTbypass,mdotbypass,PdPreturn,DivTreturn,mdotreturn,PdivRvent,rhoVent,rhodPvent,MFRventcheck,PdivRbypass,rhoBypass,rhodPbypass,MFRbypass,PdivRreturn,rhoReturn,rhodPreturn,MFRreturn
9/1/2017 13:24:44:365,1,302.986,472.679,472.485,474.646,457.009,1319.3554,2454.2386,11.553052,1440.6755,425.513,301.089,428.289,421.037,1317.5128,5242.869,1942.6505,1402.8112,341626.852994082,1127.53346027236,5.8111746531365,7.25200000000001,0.964181428175826,395248.050717147,928.874207643824,5.27445584263813,843169.726535285,2800.40030202128,9.15818193247212,4831.27048216706,15.9455238267348,30976.5798347682,5.8408667863561,4428.53932727235,10.4075300338,25542.5619396113,5.76951663012777,4422.4226786213,14.6880911578347,77007.7378005859,10.0178467735887
9/1/2017 13:24:45:538,2,302.999,472.722,472.479,474.676,457.024,1318.0109,2528.595,11.50827,1440.4192,425.487,301.059,428.312,421.048,1303.047,6015.0894,2086.8407,1401.0919,366918.285369571,1210.95543341586,6.02231252078851,7.26400000000001,1.00086652201691,406807.950670791,956.099600389179,5.35119500073209,956738.658455851,3177.91083626748,9.75596116380984,4830.4196751285,15.9420317398028,33268.4806753122,6.05308890469258,4424.07615886286,10.3976764480768,26291.5126782248,5.85349145701856,4374.40237250158,14.5300501645909,87399.5507264991,10.6723928199013
9/1/2017 13:24:46:408,3,302.958,472.666,472.41,474.503,456.962,1325.3339,2433.4946,10.758848,1440.5473,425.422,300.998,428.308,421.071,1301.1052,5770.6764,2103.9505,1401.5831,369959.510491042,1221.15775286027,6.04762835207447,7.23699999999997,1.00133801777868,393683.169977102,925.394478840074,5.26456704549081,916495.39943964,3044.85544568283,9.54954211901204,4830.84491266904,15.9455928302571,33548.7380080159,6.07853137717609,4448.38540561829,10.456406593026,25445.6089795331,5.75855642311659,4367.95642202367,14.5115795521022,83741.629648039,10.446670721987
9/1/2017 13:24:47:276,4,302.984,472.641,472.401,474.626,456.943,1347.8967,2748.6817,9.9374716,1439.0735,425.63,301.114,428.32,421.086,1304.3958,5519.7665,2033.5668,1400.97,357217.374653899,1178.99748717391,5.94231470907102,7.23399999999998,0.983492814667396,452243.378153738,1062.52702618175,5.64117018141372,878863.146644418,2918.70569500062,9.34962864549049,4825.95252322917,15.9280771368428,32390.8088533225,5.9727105083228,4523.28430944098,10.6272685417874,29210.9785617968,6.1699302566171,4378.879815083,14.5422657700505,80269.9114316216,10.2278321885336
9/1/2017 13:24:48:146,5,302.993,472.733,472.487,474.817,457.023,1315.3937,2685.0286,11.936182,1439.9066,425.921,301.89,428.335,421.105,1314.9911,5180.3448,1943.1395,1403.3025,341530.471734426,1127.18931372812,5.8102877400776,7.22999999999996,0.961109734273846,431117.675511507,1012.20103143895,5.505954227135,831519.878420567,2754.3803319771,9.08262039039828,4828.71806105137,15.9367314131065,30967.292309698,5.83999110440923,4415.38816751937,10.3666834166885,27834.8414609543,6.02284349293008,4414.05170667768,14.6213909260912,75743.8464527438,9.93529758666948
9/1/2017 13:24:49:011,6,302.932,472.783,472.518,474.946,457.07,1317.6716,2559.7596,11.572954,1439.5541,425.503,301.092,428.343,421.117,1340.5799,5796.6578,2013.038,1404.0384,353729.368987321,1167.68571490407,5.91373953442501,7.226,0.977681028635401,411715.788349481,967.59785089525,5.38327612148184,948552.825321404,3150.37538467114,9.71360326723499,4827.54791091054,15.9360777696332,32079.930121227,5.94397912600581,4422.94982711028,10.3946384093891,26607.7754569624,5.88859228112016,4498.99564404972,14.9422623120167,86615.1813805974,10.624395066403
9/1/2017 13:24:49:880,7,302.948,472.737,472.496,474.909,457.042,1323.03,2388.8808,10.998066,1440.0026,425.497,301.027,428.365,421.136,1300.5383,5844.5687,2126.9241,1400.97,373857.781003535,1234.06584959642,6.07950718383914,7.22899999999999,1.00550362128611,385793.874171242,906.689998216771,5.2110905700751,927826.494396094,3082.20357109526,9.60793084575244,4829.03674023866,15.9401505876872,33903.490442581,6.11058479214619,4440.73743708083,10.436589299292,24931.767794564,5.70011658718958,4366.07455503123,14.5039300628556,84769.2156723548,10.5105703725521
9/1/2017 13:24:50:745,8,302.961,472.654,472.416,474.885,456.999,1341.0045,2499.3735,9.9546947,1439.6502,425.575,301.037,428.373,421.147,1303.9723,5471.8557,2035.5189,1402.32,357703.571649078,1180.69181065906,5.94658299159483,7.226,0.983110828984708,409121.734125246,961.338739646938,5.36583644285527,870951.872649503,2893.17217700649,9.30864244361598,4827.86692205531,15.9356053157182,32437.2258030849,5.97698850821092,4500.4051355385,10.5748813617776,26430.5782412709,5.86895168405795,4377.47397512657,14.5413154367289,79567.9797579632,10.183014627328
9/1/2017 13:24:51:608,9,302.962,472.759,472.485,474.95,457.052,1315.2306,2703.6891,11.931973,1439.9066,425.908,301.738,428.384,421.17,1311.6613,5271.2892,1958.2934,1403.1797,344193.954523807,1136.09612599536,5.83319840457738,7.214,0.962764181796123,434060.044090607,1019.1403873386,5.52479560001032,843975.23695216,2797.04656673061,9.15269640971053,4828.71806105137,15.9383621082887,31211.9893234719,5.86301889285282,4414.84674485847,10.3657286194635,28025.7074820016,6.04345780556291,4402.99818628354,14.5921235849762,76919.3034585502,10.0120929610255
9/1/2017 13:24:52:474,10,302.952,472.855,472.586,474.981,457.095,1316.7579,2548.7245,11.707299,1440.0668,425.565,301.111,428.407,421.182,1343.1538,5308.6449,1970.0247,1403.9156,346294.397075062,1143.0668788292,5.85106643607603,7.22499999999997,0.96718581645985,409656.624129243,962.618223136871,5.36940605676115,870363.312801914,2890.5065334774,9.30435316542292,4829.24985694516,15.9406435902227,31403.4616066355,5.88097496072339,4419.91673155375,10.3859968078995,26471.0445212153,5.87344276642694,4507.53989780144,14.9696952213683,79468.7961914713,10.1766659513166
9/1/2017 13:24:53:343,11,302.93,472.839,472.568,475.175,457.098,1321.8552,2404.9362,11.076912,1440.5794,425.493,301.024,428.43,421.189,1300.3167,5849.4398,2129.3651,1402.1972,374436.76754033,1236.0504655872,6.08439373027664,7.24099999999999,1.00798227652635,388041.878972272,911.981816321941,5.22627548665386,928441.557502072,3084.27752439032,9.61116279466248,4830.95147102229,15.9474184498805,33957.8762822716,6.1154839354491,4436.83760052637,10.42752195812,25077.5250333778,5.71675444625255,4365.33893724057,14.501630890695,84826.4168969407,10.5141159763559
9/1/2017 13:24:54:210,12,302.959,472.739,472.493,474.958,457.029,1334.7585,1993.6081,10.196591,1438.7532,425.513,301.043,428.442,421.208,1302.7864,5588.7877,2058.9814,1401.2147,361601.215309908,1193.56485633339,5.9789128113993,7.23399999999998,0.989550045297638,324813.177619764,763.344898087165,4.78144993204741,888754.850961291,2952.25217314899,9.40320565072746,4824.88926339908,15.9258819292349,32791.0946708908,6.00950258500498,4479.67107091547,10.5276949726929,20988.0979718898,5.22990431632803,4373.53729129108,14.5279488023009,81193.6215725292,10.2865125076255
9/1/2017 13:24:55:073,13,302.936,472.819,472.52,474.946,457.106,1315.0805,2734.0944,11.71725,1439.0735,425.813,301.561,428.457,421.22,1310.1887,5247.7402,1955.8487,1403.1797,343565.373822115,1134.1186713435,5.82811964902683,7.23699999999997,0.964992793370259,438891.327158091,1030.71378083359,5.55607692773531,839261.558534428,2783.05735335281,9.12977946572384,4825.95252322917,15.9306009296656,31157.8451185052,5.85793132402895,4414.34847667084,10.3668710834823,28344.0041748708,6.07767962965583,4398.10978033352,14.5844780337428,76535.5516736891,9.98708647687945
