Time,Scan,Tvent [K],Tl8 [C],T6 [C],T4 [C],T2 [C],Pbypass [PSI],dPbypass [PA],dPtest [PSI],Pvent [PSI],Tbypass [K],Treturn [K],Tout [C],Tin [C],Preturn [PSI],dPreturn [PA],dPvent [PA],Ptest [PSI],PdPvent,DivTvent,mdotvent,dT,CVHeatFlux,PdPbypass,DivTbypass,mdotbypass,PdPreturn,DivTreturn,mdotreturn,PdivRvent,rhoVent,rhodPvent,MFRventcheck,PdivRbypass,rhoBypass,rhodPbypass,MFRbypass,PdivRreturn,rhoReturn,rhodPreturn,MFRreturn
6/27/2017 12:20:40:331,11,305.74,381.55,382.185,384.31,369.248,1296.5317,3701.2498,14.091822,1467.4606,410.111,303.335,346.264,339.422,1315.0106,5174.6608,2989.6243,1415.7019,535518.181155903,1751.54765865083,7.24286162770992,6.84199999999998,1.13378392813613,585764.020029072,1428.30604404435,6.54048337160914,830619.831712568,2738.29209195302,9.05605590763106,4920.18562695322,16.0927115423341,48111.1614798524,7.2791972776081,4352.7743463667,10.6136493446084,39283.767514002,7.15506804034194,4414.1164383876,14.551952258683,75301.4169164782,9.90623841524741
6/27/2017 12:20:41:204,12,305.756,381.569,382.217,384.297,369.289,1301.7204,3578.2066,13.924562,1467.0761,410.111,303.306,346.29,339.463,1272.7143,5190.9,3141.1451,1415.7019,562512.005575422,1839.74151145169,7.42296841743628,6.827,1.15943005462257,568557.350843657,1386.34991708015,6.44370484490481,806426.409127032,2658.78818462883,8.92362022133012,4918.90925041662,16.0876949280362,50533.7840934957,7.46021732289637,4369.99862448222,10.6556484085582,38128.1114627825,7.04903795843183,4273.71070391513,14.0904258534784,73141.9915628212,9.76316418097044
6/27/2017 12:20:42:067,13,305.802,381.547,382.192,384.325,369.295,1310.7076,3796.0661,13.475597,1466.6597,410.144,303.326,346.331,339.496,1276.7673,5207.1392,3095.6907,1415.0878,554214.745900852,1812.33198573212,7.36746508804451,6.83500000000004,1.15210919767695,607338.397484107,1480.79308117175,6.65957320368142,811525.356795907,2675.42299966342,8.95149218789842,4917.52697944176,16.0807548003014,49781.0430842733,7.40444591087688,4399.83230773231,10.7275305934801,40722.4152226228,7.28490622741805,4287.16494085351,14.1338524915553,73596.9373557954,9.79348072604659
6/27/2017 12:20:42:938,14,305.779,381.566,382.217,384.334,369.279,1321.1437,4022.4977,13.107394,1466.3713,410.148,303.39,346.364,339.525,1278.5725,5055.2963,3035.5676,1416.0703,543344.175856196,1776.91789120965,7.29512753877113,6.839,1.14146481982033,648689.723680728,1581.59913904427,6.88251899735954,788974.796664728,2600.52999988374,8.82531352583409,4916.56961404994,16.0788334517738,48808.3858720007,7.3317524257013,4434.47572300807,10.811891617192,43490.8091628042,7.52845650907661,4293.1574374045,14.1506227542256,71535.5908521324,9.65535588957795
6/27/2017 12:20:43:802,15,305.805,381.622,382.241,384.384,369.345,1348.7843,4253.0039,13.338957,1465.8587,410.316,303.659,346.398,339.551,1284.0395,4861.2267,2987.1795,1419.2625,534496.154040276,1747.83327296897,7.23517783467934,6.84700000000004,1.13340878980442,700211.8213731,1706.51844279312,7.14915481735875,761930.596814649,2509.16520443869,8.66889688374791,4914.86799997281,16.0719020289819,48009.6562669831,7.27151437638946,4526.23076409346,11.0310852223493,46915.2484718838,7.81923403928055,4311.30555320567,14.1978520419473,69018.9774289637,9.48399818511158
6/27/2017 12:20:44:666,16,305.802,381.724,382.294,384.39,369.385,1292.087,3957.5189,14.887943,1466.3072,410.51,304.095,346.431,339.585,1289.0895,4804.3865,2942.2103,1418.28,526610.88787965,1722.06489126837,7.18164552454168,6.846,1.1248585100267,624174.339016196,1520.48510149861,6.74823648215067,755983.234785615,2486.01007838213,8.62880493550855,4916.35682930093,16.0769283042653,47301.7040491708,7.21770224687672,4338.01983195268,10.5673913715931,41820.6510767766,7.38248540057927,4328.06940628705,14.2326227208177,68379.0204594897,9.43992707879736
6/27/2017 12:20:45:533,17,305.802,381.756,382.341,384.421,369.485,1292.1066,4082.979,14.69274,1467.8772,410.371,303.894,346.468,339.629,1299.2351,4611.9364,2927.0601,1418.0344,524460.180336954,1715.03188447739,7.16696540490542,6.839,1.12141135725051,643971.498721872,1569.24221916722,6.85557996400624,731412.216608652,2406.80045215981,8.49022600516256,4921.56856184306,16.0939711376742,47108.0207676379,7.20291015593432,4338.08489562009,10.5711292845257,43161.6988750034,7.49991717226885,4361.74848506377,14.3528614749346,66194.4842804085,9.28791224436747
6/27/2017 12:20:46:396,18,305.769,381.796,382.391,384.449,369.501,1296.1988,3763.482,14.437065,1467.5248,410.231,303.374,346.505,339.655,1315.6296,4765.4112,2970.0734,1416.6844,532039.39008728,1740.00434997426,7.2189556860218,6.85000000000002,1.13136303691238,595460.02832643,1451.52372279625,6.59342814933037,765288.474310773,2522.59084269177,8.69205801406136,4920.39874365972,16.0918822498674,47794.0714262634,7.25516983040521,4351.66925989328,10.6078508447516,39922.4557129073,7.21299823302473,4416.17125523064,14.556854757595,69369.3986986167,9.50804365145766
6/27/2017 12:20:47:266,19,305.737,381.793,382.397,384.437,369.522,1300.2388,3678.7536,14.140048,1467.1082,410.231,303.354,346.528,339.688,1280.7423,5227.4427,3091.779,1418.1572,553683.705796538,1810.98037135361,7.36471729427667,6.84000000000003,1.15252199011418,583868.408076694,1423.26739831143,6.5289367236748,817226.027833514,2693.96819502467,8.98246308235515,4919.01580876987,16.0890432259421,49743.7659760602,7.40167308807668,4365.08034235838,10.6405423830924,39143.9335977538,7.14232215066842,4300.36025095222,14.1760459758309,74104.4680512218,9.82719104368246
6/27/2017 12:20:48:136,20,305.759,381.749,382.4,384.449,369.529,1305.8974,3734.8288,13.635969,1466.9159,410.228,303.309,346.561,339.725,1274.5975,5296.4639,3110.352,1416.3159,556936.79662663,1821.48946270308,7.3860550541952,6.83599999999996,1.15518524430659,595348.017471803,1451.26129243202,6.59283208812262,824043.682662166,2716.84547000638,9.02052215349494,4918.37745452283,16.0857978163287,50032.4934096135,7.42312275076457,4383.86448870418,10.6864097250899,39911.9108098659,7.21204556880538,4279.96212730579,14.1108972279286,74737.8577643338,9.86909943292991
