Time,Scan,Tvent [K],Tl8 [C],T6 [C],T4 [C],T2 [C],Pbypass [PSI],dPbypass [PA],dPtest [PSI],Pvent [PSI],Tbypass [K],Treturn [K],Tout [C],Tin [C],Preturn [PSI],dPreturn [PA],dPvent [PA],Ptest [PSI],PdPvent,DivTvent,mdotvent,dT,CVHeatFlux,PdPbypass,DivTbypass,mdotbypass,PdPreturn,DivTreturn,mdotreturn,PdivRvent,rhoVent,rhodPvent,MFRventcheck,PdivRbypass,rhoBypass,rhodPbypass,MFRbypass,PdivRreturn,rhoReturn,rhodPreturn,MFRreturn
8/25/2017 12:20:08:401,1,305.415,438.127,438.488,446.824,421.688,1312.7439,2660.5907,11.287422,1467.4927,425.165,302.911,406.746,400.296,1276.5393,5600.1558,2404.5511,1422.8222,430726.027672382,1410.29755471205,6.49912044071227,6.44999999999999,0.959072278831709,426333.27766602,1002.74782182451,5.48018314348507,872620.586941112,2880.78210081876,9.28868882037798,4920.29218530647,16.1101851097898,38737.7633269488,6.53172421543714,4406.59195803521,10.3644278292785,27575.5002933997,5.99471998823643,4286.4080777837,14.1507177942818,79246.2243298105,10.1624048339383
8/25/2017 12:20:09:575,2,305.419,438.12,438.482,446.87,421.709,1307.8359,2653.8654,11.307327,1466.8519,425.132,302.927,406.739,400.289,1279.2501,5444.2485,2350.2955,1422.945,420823.41101013,1377.85603060101,6.42393487640105,6.44999999999999,0.947977178939807,423665.697483172,996.55094766607,5.46322342808395,850128.459545555,2806.38061165084,9.16795545570711,4918.16500173131,16.1030093141923,37846.8303276043,6.45617546995375,4390.29948458503,10.3269090178698,27406.2265314727,5.97629220153102,4295.40678133479,14.1796762300316,77197.6810458353,10.0301939121705
8/25/2017 12:20:10:441,3,305.431,438.177,438.508,446.874,421.716,1303.587,3124.6791,11.838964,1466.3072,425.38,303.296,406.735,400.304,1286.3918,5121.0659,2274.048,1423.3134,407020.000018674,1332.60867436073,6.31757675159237,6.43100000000004,0.929535701391459,497206.272498173,1168.85202054204,5.91669217239216,804127.25640116,2651.29529041319,8.91103724886423,4916.35682930093,16.0964565787393,36604.114889969,6.34929526373335,4376.19494293008,10.2877308357941,32145.8575290313,6.47246498564564,4319.11418916673,14.2405906743469,72927.0032982561,9.74880505335501
8/25/2017 12:20:11:307,4,305.408,438.177,438.564,446.921,421.744,1292.831,3064.1994,12.315103,1468.582,425.251,303.009,406.742,400.293,1302.0761,5129.1886,2258.4051,1422.4538,404847.258035427,1325.59480444333,6.30092928373785,6.44900000000001,0.929681140021936,483559.517867513,1137.1155338083,5.83581485338698,815222.56299395,2690.42359465874,8.97655177983152,4923.90819820974,16.1223942994609,36410.8975101133,6.33251549163422,4340.48959565418,10.2068886273146,31275.9420076843,6.38428699102995,4371.17939726262,14.4259061521692,73993.1933803759,9.8198100564746
8/25/2017 12:20:12:175,5,305.415,438.193,438.561,446.948,421.747,1297.2692,2925.0534,11.950344,1468.0693,425.17,302.941,406.735,400.285,1276.4676,5631.0083,2418.2382,1424.4187,433347.993085884,1418.88248149529,6.51887152826229,6.44999999999999,0.961986937933476,463185.613278856,1089.41273673791,5.7120951494837,877378.76431156,2896.20343337997,9.31351762783895,4922.20625217513,16.1164522114995,38973.4203863226,6.55156161596823,4355.22253283156,10.2434850361774,29962.7407329199,6.24881935653036,4286.17006426569,14.1485307840989,79670.4942780661,10.1895723584515
8/25/2017 12:20:13:045,6,305.46,438.128,438.45,446.927,421.695,1307.4639,2749.4392,11.257951,1467.2684,425.176,302.931,406.735,400.293,1279.0155,5465.3588,2352.7403,1424.6634,421380.769059989,1379.49574104626,6.42775612511766,6.44200000000001,0.947364593834265,438798.346420326,1032.03931176813,5.55964842628028,853268.359538078,2816.70862189105,9.18480986617163,4919.54760466366,16.1053742050143,37891.7629387176,6.46000679174538,4389.06460273428,10.3229359200291,28382.284677616,6.08178240442026,4294.62800907085,14.1769182060299,77481.9446742058,10.0486439442778
8/25/2017 12:20:13:911,7,305.46,438.153,438.521,446.961,421.722,1335.496,3118.7588,11.379667,1466.6917,425.318,303.188,406.735,400.289,1284.5282,5274.5407,2288.2203,1424.0503,409664.02144926,1341.13802608937,6.3377623048188,6.44600000000003,0.934680724673989,508411.698932159,1195.36840418736,5.98342835358025,827026.539343752,2727.7680493415,9.0386366433891,4917.63320583752,16.0991069398203,36838.3033115678,6.36957386791809,4482.11925738033,10.5382778471175,32866.3467725428,6.54459714401471,4312.92782944347,14.2252590123734,75031.7076288053,9.88848176915624
8/25/2017 12:20:14:773,8,305.421,438.202,438.551,446.995,421.732,1292.0805,3071.0665,12.336537,1468.8063,425.269,303.272,406.727,400.289,1299.9453,5059.3546,2235.4316,1424.0503,400790.176151612,1312.25480943227,6.26914472032719,6.43799999999999,0.923413684118882,484361.871174122,1138.9541000499,5.84053082036876,802807.373938177,2647.15296479127,8.90407332313525,4924.65277885255,16.1241459456047,36044.4253698167,6.30056682216469,4337.99825471604,10.200598338266,31326.7158366044,6.38946706270728,4364.10604713474,14.3900724337715,72804.4791621349,9.74061216191702
8/25/2017 12:20:15:641,9,305.395,438.199,438.588,447.001,421.741,1296.2314,2947.6444,11.969099,1467.5248,425.194,302.974,406.723,400.3,1275.9137,5640.7568,2400.6395,1423.8047,430034.751127508,1408.12636463435,6.49411573055422,6.423,0.954322106413225,466389.519632103,1096.88640863254,5.73165493466051,878516.316024722,2899.64259647601,9.31904576210149,4920.39874365972,16.1115890687788,38678.1171262787,6.52669368987931,4351.77747803396,10.2348045316584,30168.5642628375,6.27024518124869,4284.33135174653,14.1409208438563,79765.4954082443,10.1956457015227
8/25/2017 12:20:16:506,10,305.389,438.146,438.527,446.955,421.688,1304.3767,2998.273,11.50406,1467.4927,425.177,302.941,406.723,400.296,1278.9178,5483.2238,2368.8684,1422.3309,424334.20359028,1389.48751785519,6.45099245199706,6.42700000000002,0.948575431299493,477381.254889264,1122.78240565521,5.79891854074376,855992.105856592,2825.60665560816,9.19930591750553,4920.29218530647,16.1115566877211,38166.1575123512,6.48335478572752,4378.81641120303,10.2988082873792,30878.6388202253,6.34360708878677,4294.30368660628,14.1753796501836,77726.7790719226,10.0645077253843
